Id,Date,User,Tweet
57,2021-09-10 17:58:18+00:00,miguelbreyes81,#DuterteInutil #DutertePalpak
58,2021-09-10 16:17:56+00:00,JewelsHRH,OMG. 27k covid cases!!! Walang silbi ang gobyernong ito!!!!! #DutertePalpak #dutertetamad
59,2021-09-10 14:05:18+00:00,sharelangg,Grabe yung antok ko. But the news lately is keeping me awake. #DutertePalpak #HarryRoqueResign
60,2021-09-10 14:04:49+00:00,palebp,"P 625K ANG PUHUNAN. BUMENTA NG 7.5 BILYON!!!
#PHARMALLY #DutertePalpak"
61,2021-09-10 13:21:57+00:00,AdigueMichael,"Pagtanggol nyo pa mga DDS yung chinese na ang pera ng bayan ninanakaw , Ano na? #DutertePalpak"
62,2021-09-10 12:12:17+00:00,markmansotelo,"Pharmacy + Anomaly = Pharmally
#pharmally #Trending #KMJS #abscbn #gmanews #DuterteInutil #SalamatShopee #DuqueResign #HarryRoqueResign #ddsbobo #Eleksyon2022 #du30 #DuterteWakasan #DutertePalpak #kalmaAkoLangTo #Covid_19"
63,2021-09-10 12:06:13+00:00,palebp,"#TaeKaHarry
#DuterteInutil 
#DutertePalpak"
64,2021-09-10 11:58:37+00:00,kitkathclub,"To those who advocate in putting the blame SOLELY on Duque, Roque, and the rest of the Cabinet Secretaries: Know Your Government. Magbasa ka ng Saligang Batas!

#DutertePalpak"
65,2021-09-10 11:36:25+00:00,pieatot,"Nagtataka pa ba tayo sa ugaling ipinakita ni Boy Kalma Lang? Eh parehong pareho ng ugali ng amo niya eh.
#DutertePalpak
#RoqueResign"
66,2021-09-10 11:23:01+00:00,Gimsonmancilla,Pandemic tapos mas inaatupag yung pag takbo as vice president #DutertePalpak
67,2021-09-10 11:11:31+00:00,MitzieQM23,Nasa Babuyan Island ang bagyo pero parang araw araw signal number 4 ang babuyan sa gobyerno. #DuterteCorrupt #HarryRoqueResign
68,2021-09-10 11:04:27+00:00,samxxxjoseph,"after #harryroque's pambabastos sa mga MHW, and knowing na by the end of September, ang Pinas at Venezuela na lang ang hindi nagbabalik-eskwela, kung hindi ka pa rin galit sa pamamahala ng mga nakaupo, mag-isip-isip ka na. 
#HarryRoqueResign 
#DutertePalpak"
69,2021-09-10 10:53:06+00:00,thinkingoftzu,"berating health workers as if you know any better 🙄

#TaeKaHarry #DutertePalpak"
70,2021-09-10 10:43:56+00:00,MayorJoshy,"We are in the midst of the Pandemic for 18 months now and yet, this government has no concrete plan.

#DutertePalpak"
71,2021-09-10 10:35:46+00:00,c_bibi,Can anyone guess what will be the next move of the #dutertards to divert the attention from the obvious irregularities being unearthed in the senate investigation? SAF44? Dengvaxia? #DuterteCorrupt #DutertePalpak #NoToAnyDuterte #NoToAnotherDuterte #NoToDuterteEnablers
72,2021-09-10 10:28:50+00:00,alyssacstro,#DutertePalpak #DuterteCorrupt #DuterteWakasan ‼️‼️‼️‼️‼️‼️
73,2021-09-10 10:26:24+00:00,zokluoer,#DutertePalpak #TaeKaHarry #RegisterToVote
74,2021-09-10 10:22:22+00:00,leydieva,"#RoqueResign 
#DuqueResign
#DutertePalpak"
75,2021-09-10 10:21:59+00:00,heyheyheyfox,".@attyharryroque sis mag-RESIGN ka na. Puñeta. Buti nga ang healthcare workers nagkakandarapa pa rin kahit mas nahihirapan sila ngayon. Samantalang kayo inutil pa rin. 
#TaeKaHarry #KalmaAkoLangTo #DuterteLegacy #DutertePalpak"
76,2021-09-10 09:52:29+00:00,jmschumey,"Lincoln Ong of Pharmally when asked how they sent payments to China: Sa bank accts (but didn’t name whose). Di kaya sa owner nung accts sa BPI, Julia Vargas? #DuterteBuking #DuterteCorrupt #DuterteLegacy #SaanAngSALN #OustDuterteNow"
77,2021-09-10 09:52:28+00:00,janelleindaeyo,Magpaparehistro na ko bukas!! Wakasan na ang administrasyong Duterte 😤 #DutertePalpak #duquecorrupt #RoqueResign
78,2021-09-10 09:51:42+00:00,masikap,Season ng pagbubunyag ng korupsyon ng administrasyon ni Dutz. Ilabas na lahat! #DuterteWakasan #DuterteCorrupt
79,2021-09-10 09:51:21+00:00,c_bibi,"Michael Yang is #DuterteInutil's economic adviser has been in the PH since 1999 (he claims), has several pics/videos talking with #DutertePalpak &amp; he cannot communicate in English or Filipino because he says his Tagalog is very elementary? I didn't know #Duterte can talk Chinese."
80,2021-09-10 09:30:57+00:00,kelv_engkanto,Akala ko ba excellent ang government response to the pandemic? #TaeKaHarry #DutertePalpak
