Id,Date,User,Tweet
86,2022-03-01 11:25:23+00:00,CosmicPoo,Ukraine elected a Actor/Comedian and got a leader they deserve while in the Philippines elected a leader and we got a comedian. #DutertePalpak
87,2022-03-01 01:42:39+00:00,jmschumey,I do not agree na Customs ang pinaka corrupt sa adming ito. Sumusunod lang yan sa utos ng Office of the President. #DuterteCorrupt
88,2022-02-28 23:45:18+00:00,1020Hiraya,Huy! 🐢 hindi ka pa ba mag eemergency cabinet meeting kasi pataas na ng pataas ang oil prices. May economic crisis na. If tumaas ang oil tataas lahat ng bilihin. Tanginits! Palibhasa nagmamadali na umalis. #dutertepalpak
89,2022-02-28 15:24:37+00:00,wagkamote,"Alert Level 1 na bukas, wala ba jan #DutertePalpak?

😏"
90,2022-02-28 08:13:08+00:00,DaVincentsCode,"Tangina, ano naman kung former comedian yung president ng Ukraine? Yung presidente nga ng Pilipinas, comedian din eh, pero hindi naman siya nakakatawa. #DutertePalpak"
91,2022-02-27 08:59:13+00:00,_Lola_Ganda_,"According to today's gospel, a good tree doesn't bear rotten fruit and a rotten tree doesn't bear good fruit. Kaya do not forget
#MarcosNumber1Sinungaling 
#MarcosMagnanakaw 
#DuterteDuwag 
#dutertepalpak"
92,2022-02-26 11:46:22+00:00,everydayfight13,Kadiri yung mga pinoy na suportado ang pagkamatay ng isang tao dahil lang against siya sa politikong sinusuportahan ninyo. Tangina niyo. Mga demonyo. mga bobo tulad ng poon niyo!!! #DutertePalpak #BBMNumber1Sinungaling #BBMDuwag #Dutertedemonyo
93,2022-02-26 05:33:13+00:00,Thepeephole1,"So may bagong script na genius daw si Lolo sa foreign policy dahil enemy to none?!Good foreign policy ba na tawaging sonofab*tch ang US president?Murahin ang head ng smallest independent state nang bumisita sha sa Pinas? Sumipsip lang sa Ruso at Tsina,genius na?! 
#dutertepalpak"
94,2022-02-26 00:01:30+00:00,Xylo143,"kamusta gising mo @bongbongmarcos ? Hello daw sabi ng CDO, CEBU and Iloilo! #notomagnanakaw daw sila. #NoToMarcosDuterte2022 no to #MarcosNumber1Sinungaling #dutertepalpak #MarcosMagnanakaw"
95,2022-02-25 03:03:31+00:00,Xylo143,Wa #LaUnionForBBMSARA #MarcosMagnanakaw #DutertePalpak #NeverAgain #NeverForget
96,2022-02-24 21:54:33+00:00,FactUpo,"Ngayon ko narealize kung paano tayo naging mababaw na bansa. Ang isyu natin, kampanya, artista, pulitika. Hindi naman tayo ganito, mula lng ng maupo si Dutae. May gyera na, may laban ba tayo kung sakali? May plano ba tayo? Mabubuhay ba tayo? #DuterteInutilPaRin #DutertePalpak"
97,2022-02-24 13:29:11+00:00,Harperblammo,3 months ka na lang #DutertePalpak. Yaya Bong Go will pack your kulambo soon.
98,2022-02-23 12:28:56+00:00,MangDonald8,"Ang mahal ng gasolina at krudo. Wala namang naririnig mula kay DUTERTE kung paano tayo makakaahon mula dito. Magtataas pa ng buwis.
#DuterteLegacy #dutertepalpak
 
Huwag nating kalilimutan
na si SARA ay DUTERTE.
#KulayRosaAngBukas
#Kakampink 
#LeniKikoAllTheWay"
99,2022-02-23 11:57:45+00:00,Xylo143,HAKOT FOR #BacolodForBBMSARA HAHAHAHAHA #MarcosNumber1Sinungaling #MarcosMagnanakaw #dutertepalpak #NeverAgain #NeverForget
